Sampling Rate,Start Point,Lower,Upper,Width/2,Mean
0.625gHz,0.000 (ns),0.937,1.050,0.057,1.008
0.625gHz,0.200 (ns),0.931,1.046,0.057,1.000
0.625gHz,0.400 (ns),0.925,1.041,0.058,0.995
0.625gHz,0.600 (ns),0.927,1.044,0.059,0.995
0.625gHz,0.800 (ns),0.930,1.048,0.059,1.001
0.625gHz,1.000 (ns),0.934,1.053,0.059,1.008
0.625gHz,1.200 (ns),0.942,1.060,0.059,1.013
0.625gHz,1.400 (ns),0.949,1.065,0.058,1.013
0.625gHz,1.600 (ns),0.937,1.050,0.057,1.008
0.625gHz,1.800 (ns),0.931,1.046,0.057,1.000
0.625gHz,2.000 (ns),0.925,1.041,0.058,0.995
0.625gHz,2.200 (ns),0.927,1.044,0.059,0.995
0.625gHz,2.400 (ns),0.930,1.048,0.059,1.001
0.625gHz,2.600 (ns),0.934,1.053,0.059,1.008
0.625gHz,2.800 (ns),0.942,1.060,0.059,1.013
0.312gHz,0.000 (ns),0.905,1.043,0.069,0.982
0.312gHz,0.200 (ns),0.926,1.064,0.069,0.986
0.312gHz,0.400 (ns),0.929,1.064,0.067,0.997
0.312gHz,0.600 (ns),0.950,1.088,0.069,1.014
0.312gHz,0.800 (ns),0.962,1.107,0.072,1.035
0.312gHz,1.000 (ns),0.982,1.127,0.072,1.050
0.312gHz,1.200 (ns),0.989,1.124,0.067,1.052
0.312gHz,1.400 (ns),0.982,1.101,0.059,1.042
0.312gHz,1.600 (ns),0.972,1.081,0.055,1.026
0.312gHz,1.800 (ns),0.943,1.056,0.057,1.009
0.312gHz,2.000 (ns),0.919,1.040,0.061,0.994
0.312gHz,2.200 (ns),0.918,1.043,0.062,0.985
0.312gHz,2.400 (ns),0.905,1.032,0.064,0.981
0.312gHz,2.600 (ns),0.901,1.031,0.065,0.979
0.312gHz,2.800 (ns),0.903,1.035,0.066,0.979
0.156gHz,0.000 (ns),0.840,1.084,0.122,0.992
0.156gHz,0.200 (ns),0.900,1.138,0.119,1.016
0.156gHz,0.400 (ns),0.934,1.174,0.120,1.061
0.156gHz,0.600 (ns),0.965,1.233,0.134,1.110
0.156gHz,0.800 (ns),0.964,1.225,0.131,1.132
0.156gHz,1.000 (ns),0.999,1.225,0.113,1.124
0.156gHz,1.200 (ns),0.995,1.173,0.089,1.098
0.156gHz,1.400 (ns),0.993,1.127,0.067,1.069
0.156gHz,1.600 (ns),0.991,1.103,0.056,1.041
0.156gHz,1.800 (ns),0.956,1.070,0.057,1.016
0.156gHz,2.000 (ns),0.933,1.055,0.061,0.998
0.156gHz,2.200 (ns),0.922,1.048,0.063,0.988
0.156gHz,2.400 (ns),0.920,1.049,0.065,0.982
0.156gHz,2.600 (ns),0.917,1.046,0.064,0.980
0.156gHz,2.800 (ns),0.905,1.042,0.068,0.980
